Policy_ID,Policy_Number,Customer_ID,State,Region,Product,Line_of_Business,Agent,Underwriter,Policy_Status,Risk_Level,Effective_Date,Expiration_Date,Written_Premium,Earned_Premium,Claim_Count,Claim_Amount,Paid_Claim_Amount,Outstanding_Reserve,Coverage_Type,Claim_Status,Claim_Type,Loss_Date,Reported_Date,Distribution_Channel,Loss_Ratio
POL00025,PN-152657,CUST00024,GA,South,Auto,Personal Auto,Ashley Brown,Elizabeth Williams,Pending,Medium,2026-02-12,2027-02-07,1759.57,88.82,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Broker,0.0
POL00026,PN-266889,CUST00025,NC,South,Home,Homeowners,George Wilson,Edward White,Active,High,2025-05-11,2026-05-06,1927.56,936.26,1,4450.1,3884.58,0.0,Property,Closed,Fire,2025-08-28,2025-08-30,Online,4.753060047422725
POL00027,PN-535020,CUST00026,OH,Midwest,Home,Homeowners,James Lewis,Nancy Martinez,Active,High,2025-12-13,2026-06-11,3939.37,2155.81,1,13824.94,13409.92,0.0,Liability,Closed,Liability,2026-02-07,2026-02-22,Online,6.412874975067377
POL00028,PN-330080,CUST00027,NC,South,Auto,Personal Auto,David Davis,Maria Harris,Expired,Medium,2025-09-29,2026-03-28,2195.22,2195.22,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Direct,0.0
POL00029,PN-773971,CUST00028,GA,South,Home,Homeowners,James Lewis,Laura King,Active,Low,2026-02-18,2027-02-13,1352.77,776.51,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00030,PN-120324,CUST00029,NJ,Northeast,Commercial Property,Commercial Property,Steven Thompson,Edward White,Expired,Medium,2026-02-11,2026-08-10,11540.65,11540.65,1,8198.78,7237.02,0.0,Liability,Closed,Property Damage,2026-04-17,2026-04-28,Online,0.7104261891661215
POL00031,PN-275939,CUST00030,CA,West,Commercial Auto,Commercial Auto,George Wilson,Kevin Williams,Active,High,2024-11-15,2025-11-10,7354.14,2569.52,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Agent,0.0
POL00032,PN-354646,CUST00001,MA,Northeast,Commercial Auto,Commercial Auto,James Robinson,Brian Lee,Active,Medium,2025-06-29,2026-06-24,6647.47,4792.18,1,5485.52,5396.3,0.0,Liability,Closed,Weather,2026-02-19,2026-02-23,Agent,1.1446815436815814
POL00033,PN-556641,CUST00031,OH,Midwest,Commercial Property,Commercial Property,Susan Johnson,Donna Davis,Expired,Medium,2024-11-26,2025-11-21,10272.91,10272.91,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00034,PN-886931,CUST00032,IL,Midwest,Home,Homeowners,David Davis,Angela Thompson,Active,Medium,2024-12-29,2025-12-24,1798.62,1359.34,1,3275.59,3057.03,0.0,Property,Closed,Property Damage,2025-05-01,2025-05-16,Broker,2.409691467918255
POL00035,PN-777278,CUST00033,NC,South,Commercial Auto,Commercial Auto,John Davis,Donna Anderson,Cancelled,Low,2025-08-18,2026-08-13,4763.21,1930.54,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Agent,0.0
POL00036,PN-468900,CUST00034,MA,Northeast,Auto,Personal Auto,Robert Perez,Brian Lee,Active,Medium,2026-02-19,2027-02-14,1076.25,516.3,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Online,0.0
POL00037,PN-205409,CUST00035,MA,Northeast,Auto,Personal Auto,Sandra Lewis,Donna Anderson,Active,Low,2024-02-25,2025-02-19,1395.46,1206.37,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00038,PN-701949,CUST00036,NC,South,Home,Homeowners,Sandra Lewis,John Walker,Expired,Low,2024-03-07,2025-03-02,1663.01,1663.01,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Agent,0.0
POL00039,PN-256445,CUST00037,MA,Northeast,Auto,Personal Auto,Robert Perez,Brian Lee,Active,Medium,2025-09-25,2026-09-20,1919.27,1709.16,1,7039.24,3379.22,2670.97,Comprehensive,Open,Bodily Injury,2026-01-09,2026-01-29,Broker,4.1185377612394385
POL00040,PN-321275,CUST00038,NY,Northeast,Auto,Personal Auto,Sandra Lewis,Maria Lewis,Active,Low,2025-04-26,2026-04-21,615.03,297.53,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00041,PN-820775,CUST00039,MA,Northeast,Commercial Auto,Commercial Auto,Kimberly Garcia,Nancy Martinez,Active,Low,2024-09-29,2025-09-24,2384.86,1192.31,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Online,0.0
POL00042,PN-402630,CUST00040,NC,South,Commercial Auto,Commercial Auto,Carlos Rodriguez,Maria Harris,Active,High,2024-03-23,2024-09-19,12028.81,8328.91,1,20678.39,19943.61,0.0,Comprehensive,Closed,Collision,2024-05-06,2024-05-21,Broker,2.482724630233728
POL00043,PN-644173,CUST00041,MA,Northeast,Auto,Personal Auto,Kimberly Allen,Jennifer Robinson,Active,Medium,2024-12-22,2025-12-17,1294.26,1109.86,1,9856.01,9050.02,0.0,Personal Injury,Closed,Theft,2025-06-01,2025-06-09,Agent,8.880408339790606
POL00044,PN-438977,CUST00011,GA,South,Home,Homeowners,Thomas Brown,Elizabeth Williams,Active,Low,2026-02-13,2027-02-08,1959.62,847.17,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Broker,0.0
POL00045,PN-559398,CUST00042,NC,South,Auto,Personal Auto,Kimberly Garcia,Edward White,Active,Medium,2025-02-21,2025-08-20,1148.38,429.21,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Agent,0.0
POL00046,PN-622584,CUST00043,MA,Northeast,Home,Homeowners,Susan Johnson,Jennifer Robinson,Pending,High,2025-07-18,2026-07-13,2548.91,129.55,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Agent,0.0
POL00047,PN-389666,CUST00044,GA,South,Home,Homeowners,Linda Williams,Laura King,Active,High,2025-08-24,2026-08-19,3771.33,2318.7,2,45219.39,18965.14,18154.43,Liability,Reopened,Liability,2026-03-22,2026-03-23,Agent,19.50204424893259
POL00048,PN-433632,CUST00045,CA,West,Commercial Property,Commercial Property,James Lee,Maria Harris,Expired,High,2024-06-04,2025-05-30,15378.64,15378.64,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00049,PN-205239,CUST00046,NC,South,Auto,Personal Auto,Thomas Clark,Angela Thompson,Active,Medium,2024-06-07,2024-12-04,1585.14,824.38,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00050,PN-993140,CUST00047,TX,South,Commercial Auto,Commercial Auto,James Lee,Mark Miller,Expired,Medium,2025-07-08,2026-01-04,6548.93,6548.93,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Broker,0.0
POL00051,PN-338536,CUST00048,MD,South,Commercial Property,Commercial Property,George Wilson,Brian Lee,Cancelled,Low,2024-02-17,2025-02-11,8354.83,3132.26,1,1297.9,1177.69,0.0,Property,Closed,Property Damage,2025-01-31,2025-02-07,Direct,0.41436534642718037
POL00052,PN-621841,CUST00049,PA,Northeast,Auto,Personal Auto,Kimberly Garcia,Laura King,Cancelled,Medium,2025-04-21,2026-04-16,1703.61,707.06,1,5753.61,5753.07,0.0,Comprehensive,Closed,Bodily Injury,2025-12-24,2025-12-27,Direct,8.137371651627868
POL00053,PN-348728,CUST00050,VA,South,Home,Homeowners,Carlos Rodriguez,Donna Anderson,Expired,Low,2024-01-09,2024-07-07,2484.22,2484.22,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Broker,0.0
POL00054,PN-913423,CUST00051,IL,Midwest,Commercial Auto,Commercial Auto,Robert Perez,Nancy Martinez,Cancelled,Medium,2025-11-06,2026-11-01,7358.98,3957.69,1,2011.24,931.93,763.88,Comprehensive,Reopened,Bodily Injury,2025-12-27,2025-12-31,Online,0.5081853303315823
POL00055,PN-924718,CUST00052,VA,South,Home,Homeowners,Susan Johnson,Kevin Williams,Expired,Low,2024-10-29,2025-10-24,2189.4,2189.4,2,10699.59,10363.65,0.0,Liability,Closed,Property Damage,2024-11-05,2024-11-13,Broker,4.886996437380104
POL00056,PN-662636,CUST00005,TX,South,Commercial Auto,Commercial Auto,Susan Johnson,Maria Harris,Expired,High,2024-08-27,2025-08-22,3956.9,3956.9,2,23067.15,10405.48,8915.69,Comprehensive,Reopened,Liability,2024-11-06,2024-11-07,Agent,5.829601455685006
POL00057,PN-139019,CUST00053,NC,South,Auto,Personal Auto,Robert Perez,Linda Wright,Active,Low,2025-12-14,2026-12-09,1392.58,1219.23,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Direct,0.0
POL00058,PN-745558,CUST00054,MA,Northeast,Auto,Personal Auto,Steven Thompson,Nancy Martinez,Pending,Low,2024-04-11,2025-04-06,1387.76,49.78,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Direct,0.0
POL00059,PN-228093,CUST00055,GA,South,Home,Homeowners,Paul Thomas,Nancy Martinez,Active,Medium,2026-03-16,2027-03-11,1393.36,929.34,2,13029.59,12616.51,0.0,Property,Closed,Property Damage,2026-05-31,2026-05-31,Agent,14.020261691092603
POL00060,PN-390743,CUST00056,PA,Northeast,Commercial Property,Commercial Property,Mark Rodriguez,Laura King,Active,Medium,2024-05-14,2024-11-10,6836.99,4667.99,1,6549.98,6035.39,0.0,Liability,Closed,Property Damage,2024-08-14,2024-08-30,Direct,1.4031692441500516
POL00061,PN-722503,CUST00056,CT,Northeast,Commercial Property,Commercial Property,James Lewis,Donna Anderson,Pending,Medium,2025-05-05,2026-04-30,6728.02,479.31,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Agent,0.0
POL00062,PN-437758,CUST00057,NY,Northeast,Auto,Personal Auto,James Robinson,Mark Miller,Active,Low,2025-06-01,2026-05-27,744.74,636.24,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Agent,0.0
POL00063,PN-550961,CUST00058,CT,Northeast,Home,Homeowners,Kevin Brown,Elizabeth Williams,Cancelled,Low,2024-11-16,2025-11-11,1353.48,952.57,2,5361.55,5004.77,0.0,Liability,Closed,Fire,2025-09-12,2025-09-29,Agent,5.628510240717217
POL00064,PN-688967,CUST00059,NY,Northeast,Home,Homeowners,Angela Allen,Jennifer Robinson,Cancelled,High,2025-09-06,2026-09-01,2322.44,644.81,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Direct,0.0
POL00065,PN-988432,CUST00004,OH,Midwest,Auto,Personal Auto,George Wilson,Laura King,Expired,Medium,2026-02-24,2026-08-23,1736.95,1736.95,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Direct,0.0
POL00066,PN-289179,CUST00060,FL,South,Auto,Personal Auto,David Davis,Paul Williams,Expired,Low,2025-02-14,2025-08-13,792.42,792.42,2,4936.15,4730.01,0.0,Personal Injury,Closed,Liability,2025-07-09,2025-07-28,Broker,6.229209257716867
POL00067,PN-189083,CUST00061,PA,Northeast,Auto,Personal Auto,James Robinson,John Walker,Active,Medium,2025-05-12,2026-05-07,1324.2,838.25,1,6559.74,5792.76,0.0,Personal Injury,Closed,Weather,2026-03-14,2026-03-15,Online,7.825517447062332
POL00068,PN-108060,CUST00062,CT,Northeast,Commercial Auto,Commercial Auto,George Wilson,Laura King,Active,Low,2025-03-16,2026-03-11,2853.55,1282.88,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Broker,0.0
POL00069,PN-945362,CUST00063,MD,South,Commercial Property,Commercial Property,James Lewis,Jennifer Robinson,Expired,Low,2025-08-12,2026-08-07,7169.02,7169.02,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Direct,0.0
POL00070,PN-524707,CUST00042,PA,Northeast,Commercial Auto,Commercial Auto,James Robinson,Elizabeth Williams,Expired,High,2024-04-18,2025-04-13,7345.76,7345.76,2,13729.07,11904.53,0.0,Liability,Closed,Bodily Injury,2025-01-04,2025-01-10,Agent,1.8689788394938032
POL00071,PN-913934,CUST00064,CA,West,Commercial Property,Commercial Property,Kimberly Garcia,Linda Wright,Active,Low,2025-09-08,2026-09-03,8573.8,3559.37,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00072,PN-586490,CUST00065,FL,South,Home,Homeowners,Paul Thomas,Mark Miller,Cancelled,High,2024-03-10,2025-03-05,2479.32,780.5,1,11736.32,4880.53,4956.87,Liability,Open,Weather,2024-04-25,2024-05-14,Agent,15.036925048046124
POL00073,PN-722937,CUST00066,NC,South,Home,Homeowners,Linda Williams,John Walker,Expired,Low,2024-11-25,2025-11-20,1781.51,1781.51,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Online,0.0
POL00074,PN-849014,CUST00042,NJ,Northeast,Auto,Personal Auto,Thomas Clark,Elizabeth Williams,Active,Medium,2024-10-16,2025-10-11,1343.15,924.93,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Broker,0.0
POL00075,PN-169113,CUST00067,OH,Midwest,Home,Homeowners,James Williams,Laura King,Cancelled,Medium,2024-06-02,2025-05-28,1154.15,807.96,1,7342.97,3339.52,2755.73,Property,Reopened,Liability,2024-11-17,2024-11-21,Direct,9.088284073468984
POL00076,PN-802667,CUST00068,CA,West,Commercial Property,Commercial Property,Jennifer Moore,Maria Lewis,Active,Medium,2025-01-06,2026-01-01,4631.54,4242.42,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00077,PN-244247,CUST00069,MA,Northeast,Commercial Auto,Commercial Auto,Jennifer Jones,John Walker,Expired,Medium,2025-09-03,2026-08-29,3489.97,3489.97,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Online,0.0
POL00078,PN-948343,CUST00070,CA,West,Home,Homeowners,David Clark,Paul Williams,Active,Medium,2024-10-18,2025-10-13,1400.01,1298.7,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00079,PN-485709,CUST00071,IL,Midwest,Commercial Property,Commercial Property,Thomas Clark,Donna Anderson,Active,Medium,2024-06-14,2025-06-09,10101.57,4672.0,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Broker,0.0
POL00080,PN-681478,CUST00072,CA,West,Commercial Auto,Commercial Auto,Angela Allen,Brian Lee,Cancelled,Low,2025-06-09,2026-06-04,6277.77,4371.23,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Agent,0.0
POL00081,PN-127965,CUST00073,MD,South,Home,Homeowners,Robert Perez,Maria Harris,Active,High,2024-04-11,2025-04-06,3378.69,1643.64,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Agent,0.0
POL00082,PN-895702,CUST00074,NC,South,Home,Homeowners,John Davis,Angela Thompson,Expired,Low,2026-01-14,2027-01-09,930.8,930.8,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00083,PN-350021,CUST00075,FL,South,Home,Homeowners,John Davis,Brian Lee,Active,High,2025-10-09,2026-10-04,3259.89,981.28,1,13468.33,13374.19,0.0,Property,Closed,Property Damage,2026-06-25,2026-06-30,Broker,13.725266998206424
POL00084,PN-681070,CUST00028,NJ,Northeast,Home,Homeowners,Steven Thompson,Laura King,Active,Medium,2024-09-03,2025-03-02,2745.74,1417.18,1,11779.42,10334.58,0.0,Liability,Closed,Property Damage,2024-10-07,2024-10-09,Agent,8.311872874299665
POL00085,PN-850827,CUST00076,NC,South,Auto,Personal Auto,Ryan Lee,John Walker,Expired,Medium,2024-11-13,2025-11-08,2308.65,2308.65,2,14084.88,12673.42,0.0,Comprehensive,Closed,Liability,2025-01-15,2025-01-26,Agent,6.100916119810278
POL00086,PN-558176,CUST00077,CA,West,Home,Homeowners,James Lee,Mark Miller,Active,High,2026-03-27,2027-03-22,3746.73,1316.24,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Broker,0.0
POL00087,PN-671971,CUST00078,NY,Northeast,Auto,Personal Auto,Paul Thomas,Donna Anderson,Active,Low,2025-12-07,2026-12-02,966.83,836.81,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Broker,0.0
POL00088,PN-387892,CUST00079,FL,South,Commercial Property,Commercial Property,John Davis,Maria Harris,Expired,Low,2024-02-01,2025-01-26,9299.97,9299.97,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Online,0.0
POL00089,PN-170499,CUST00080,TX,South,Auto,Personal Auto,James Lee,John Walker,Cancelled,Medium,2025-01-15,2026-01-10,1959.77,916.54,1,798.0,206.58,576.08,Liability,Open,Liability,2025-03-16,2025-03-24,Direct,0.8706657647238528
POL00090,PN-912609,CUST00081,NC,South,Auto,Personal Auto,James Robinson,Donna Anderson,Pending,Medium,2024-05-18,2024-11-14,1539.27,68.51,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Agent,0.0
POL00091,PN-800280,CUST00082,NY,Northeast,Home,Homeowners,James Williams,Donna Anderson,Cancelled,High,2025-10-15,2026-10-10,3598.5,801.81,1,9533.7,8772.06,0.0,Property,Closed,Liability,2025-12-20,2026-01-08,Direct,11.890223369626222
POL00092,PN-190403,CUST00012,CA,West,Commercial Auto,Commercial Auto,Jennifer Moore,Jennifer Robinson,Expired,Medium,2024-11-20,2025-05-19,5860.22,5860.22,2,16448.3,1021.12,11507.21,Liability,Open,Liability,2025-01-01,2025-01-06,Agent,2.806771759422001
POL00093,PN-438334,CUST00083,CT,Northeast,Auto,Personal Auto,Jennifer Moore,Donna Anderson,Active,High,2025-07-18,2026-07-13,1203.65,778.47,1,4943.06,4870.4,0.0,Collision,Closed,Weather,2026-01-06,2026-01-24,Online,6.349711613806569
POL00094,PN-143195,CUST00084,NJ,Northeast,Auto,Personal Auto,Kimberly Garcia,Laura King,Cancelled,Medium,2025-10-16,2026-04-14,1550.32,502.0,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Broker,0.0
POL00095,PN-356773,CUST00085,TX,South,Home,Homeowners,Thomas Clark,Maria Lewis,Active,Medium,2025-04-20,2026-04-15,1598.48,1374.64,3,13724.01,12625.69,0.0,Liability,Closed,Weather,2025-09-03,2025-09-17,Broker,9.983712099167782
POL00096,PN-359961,CUST00013,MA,Northeast,Commercial Property,Commercial Property,Angela Allen,Jennifer Robinson,Expired,Low,2024-12-01,2025-11-26,3784.09,3784.09,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Agent,0.0
POL00097,PN-622987,CUST00086,NC,South,Auto,Personal Auto,James Lee,Elizabeth Williams,Active,High,2024-02-21,2025-02-15,2142.81,1554.11,1,4041.23,739.1,2710.97,Personal Injury,Open,Collision,2024-03-15,2024-03-27,Broker,2.6003500395724886
POL00098,PN-153642,CUST00087,CT,Northeast,Auto,Personal Auto,James Williams,Maria Lewis,Active,Low,2025-09-30,2026-03-29,710.06,385.26,0,0.0,0.0,0.0,Comprehensive,No Claim,No Claim,,,Broker,0.0
POL00099,PN-891638,CUST00074,OH,Midwest,Home,Homeowners,James Lewis,John Walker,Cancelled,Low,2025-06-15,2026-06-10,1095.7,256.25,0,0.0,0.0,0.0,Liability,No Claim,No Claim,,,Direct,0.0
POL00100,PN-270395,CUST00088,IL,Midwest,Commercial Auto,Commercial Auto,James Williams,Mark Miller,Active,Medium,2025-07-30,2026-07-25,5412.47,2789.08,1,10529.14,9892.51,0.0,Comprehensive,Closed,Bodily Injury,2025-12-12,2026-01-01,Broker,3.7751301504438737
POL00101,PN-920934,CUST00089,IL,Midwest,Home,Homeowners,Michael Miller,John Walker,Active,Medium,2025-09-26,2026-09-21,1307.59,419.11,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Online,0.0
POL00102,PN-300051,CUST00020,MD,South,Auto,Personal Auto,Carlos Rodriguez,Nancy Martinez,Expired,Low,2026-01-23,2026-07-22,1499.33,1499.33,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Direct,0.0
POL00103,PN-651002,CUST00090,PA,Northeast,Home,Homeowners,Mark Rodriguez,Mark Miller,Cancelled,Medium,2025-11-28,2026-11-23,2177.45,648.69,0,0.0,0.0,0.0,Property,No Claim,No Claim,,,Direct,0.0
POL00104,PN-412071,CUST00091,CA,West,Auto,Personal Auto,Carlos Rodriguez,Donna Davis,Active,Low,2026-03-25,2027-03-20,973.24,635.6,0,0.0,0.0,0.0,Personal Injury,No Claim,No Claim,,,Direct,0.0
POL00105,PN-958130,CUST00092,FL,South,Commercial Auto,Commercial Auto,James Williams,John Walker,Cancelled,Low,2025-03-28,2026-03-23,5967.85,3859.83,1,922.59,817.32,0.0,Liability,Closed,Bodily Injury,2025-04-22,2025-05-13,Agent,0.23902348030871828
POL00106,PN-656837,CUST00093,CT,Northeast,Auto,Personal Auto,David Clark,Mark Miller,Active,Medium,2024-01-06,2024-12-31,1471.65,1281.75,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Online,0.0
POL00107,PN-892630,CUST00094,VA,South,Auto,Personal Auto,James Lewis,Maria Lewis,Active,Medium,2024-02-08,2025-02-02,1468.42,1331.93,2,22835.51,16861.09,3014.89,Collision,Reopened,Bodily Injury,2024-11-24,2024-12-13,Online,17.14467727282965
POL00108,PN-212512,CUST00095,VA,South,Auto,Personal Auto,Kimberly Garcia,Donna Davis,Active,High,2024-10-06,2025-10-01,2605.95,2020.2,0,0.0,0.0,0.0,Collision,No Claim,No Claim,,,Broker,0.0
